2023-08-15 12:45:15.225349
{'time': '15.08.2023 17:28:12', 'latitude': '53.178295', 'longitude': '45.008869', 'Температура': '25.12', 'Влажность': '40.40', 'Давление': '747.49', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1280, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:28:33', 'latitude': '53.178295', 'longitude': '45.008869', 'Температура': '25.12', 'Влажность': '40.42', 'Давление': '747.45', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1270, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:28:53', 'latitude': '53.178295', 'longitude': '45.008869', 'Температура': '25.11', 'Влажность': '40.42', 'Давление': '747.46', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1260, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:29:14', 'latitude': '53.178295', 'longitude': '45.008869', 'Температура': '25.13', 'Влажность': '40.43', 'Давление': '747.49', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1270, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:29:34', 'latitude': '53.178291', 'longitude': '45.008869', 'Температура': '25.14', 'Влажность': '40.43', 'Давление': '747.47', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1260, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:29:55', 'latitude': '53.178291', 'longitude': '45.008865', 'Температура': '25.14', 'Влажность': '40.40', 'Давление': '747.48', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1260, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:30:15', 'latitude': '53.178291', 'longitude': '45.008865', 'Температура': '25.14', 'Влажность': '40.39', 'Давление': '747.46', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1270, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:30:36', 'latitude': '53.178291', 'longitude': '45.008865', 'Температура': '25.16', 'Влажность': '40.39', 'Давление': '747.48', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1260, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:30:56', 'latitude': '53.178291', 'longitude': '45.008865', 'Температура': '25.16', 'Влажность': '40.36', 'Давление': '747.49', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1241, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:31:17', 'latitude': '53.178288', 'longitude': '45.008865', 'Температура': '25.16', 'Влажность': '40.34', 'Давление': '747.48', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1260, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:31:37', 'latitude': '53.178288', 'longitude': '45.008869', 'Температура': '25.17', 'Влажность': '40.31', 'Давление': '747.46', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1251, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:31:58', 'latitude': '53.178291', 'longitude': '45.008865', 'Температура': '25.18', 'Влажность': '40.26', 'Давление': '747.45', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1251, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:32:18', 'latitude': '53.178288', 'longitude': '45.008865', 'Температура': '25.17', 'Влажность': '40.24', 'Давление': '747.48', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1251, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:32:39', 'latitude': '53.178288', 'longitude': '45.008865', 'Температура': '25.20', 'Влажность': '40.23', 'Давление': '747.46', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1241, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:32:59', 'latitude': '53.178284', 'longitude': '45.008865', 'Температура': '25.20', 'Влажность': '40.25', 'Давление': '747.47', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1270, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:33:20', 'latitude': '53.178280', 'longitude': '45.008865', 'Температура': '25.21', 'Влажность': '40.25', 'Давление': '747.49', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1260, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:33:40', 'latitude': '53.178280', 'longitude': '45.008862', 'Температура': '25.21', 'Влажность': '40.23', 'Давление': '747.50', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1251, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:34:01', 'latitude': '53.178280', 'longitude': '45.008858', 'Температура': '25.22', 'Влажность': '40.19', 'Давление': '747.47', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1241, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:34:21', 'latitude': '53.178280', 'longitude': '45.008858', 'Температура': '25.22', 'Влажность': '40.16', 'Давление': '747.46', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1251, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:34:42', 'latitude': '53.178276', 'longitude': '45.008854', 'Температура': '25.24', 'Влажность': '40.14', 'Давление': '747.47', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1260, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:35:02', 'latitude': '53.178276', 'longitude': '45.008854', 'Температура': '25.22', 'Влажность': '40.15', 'Давление': '747.45', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1260, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:35:23', 'latitude': '53.178276', 'longitude': '45.008854', 'Температура': '25.24', 'Влажность': '40.14', 'Давление': '747.48', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1260, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:35:43', 'latitude': '53.178276', 'longitude': '45.008858', 'Температура': '25.23', 'Влажность': '40.14', 'Давление': '747.45', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1251, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:36:04', 'latitude': '53.178272', 'longitude': '45.008865', 'Температура': '25.26', 'Влажность': '40.13', 'Давление': '747.48', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1232, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:36:24', 'latitude': '53.178272', 'longitude': '45.008869', 'Температура': '25.25', 'Влажность': '40.13', 'Давление': '747.46', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1222, 'Концентрация крупных частиц пыли (PM 10)': 5, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 5, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
